|type|gender|occupation|generation|continent
1|jurist|male|politician|1911-1931|North Am.
2|jurist|male|businessperson|1911-1931|North Am.
3|economist|male|scientist|1911-1931|North Am.
4|jurist|male|scientist|1851-1871|North Am.
5|jurist|male|scientist|1871-1891|North Am.
6|jurist|male|writer|1871-1891|North Am.
7|jurist|male|scientist|1871-1891|North Am.
8|jurist|male|scientist|1891-1911|North Am.
9|jurist|male|scientist|1871-1891|North Am.
10|jurist|male|scientist|1911-1931|North Am.
11|jurist|male|politician|1831-1851|North Am.
12|economist|male|scientist|1911-1931|North Am.
13|jurist|male|scientist|1931-1951|North Am.
14|jurist|male|scientist|1931-1951|North Am.
15|jurist|male|politician|1831-1851|North Am.
16|jurist|male|scientist|1931-1951|North Am.
17|economist|male|scientist|1931-1951|North Am.
18|economist|male|scientist|1931-1951|Asia
19|economist|male|scientist|1931-1951|North Am.
22|economist|male|scientist|1931-1951|North Am.
23|jurist|male|scientist|1931-1951|North Am.
24|jurist|male|scientist|1931-1951|Middle East
25|economist|male|scientist|1931-1951|North Am.
26|economist|male|scientist|1931-1951|North Am.
27|jurist|female|scientist|1931-1951|North Am.
28|economist|male|scientist|1931-1951|North Am.
29|economist|male|scientist|1931-1951|North Am.
31|jurist|male|politician|1831-1851|North Am.
32|jurist|male|scientist|1891-1911|North Am.
33|economist|male|scientist|1911-1931|North Am.
34|jurist|male|media person|1831-1851|North Am.
35|jurist|male|writer|1831-1851|North Am.
36|jurist|male|politician|1871-1891|North Am.
37|economist|male|scientist|1891-1911|North Am.
38|economist|male|scientist|1891-1911|North Am.
39|economist|male|scientist|1931-1951|North Am.
40|jurist|male|politician|1931-1951|North Am.
46|jurist|male|politician|1931-1951|North Am.
47|jurist|male|scientist|1911-1931|North Am.
48|jurist|male|writer|1911-1931|North Am.
49|jurist|male|scientist|1911-1931|North Am.
50|economist|male|politician|1911-1931|North Am.
51|economist|male|politician|1911-1931|Europe
52|jurist|male|politician|1871-1891|North Am.
53|jurist|male|politician|1911-1931|North Am.
55|jurist|male|politician|1871-1891|North Am.
56|jurist|male|scientist|1871-1891|North Am.
59|jurist|male|politician|1891-1911|North Am.
60|jurist|male|politician|1851-1871|North Am.
61|jurist|male|politician|1931-1951|North Am.
62|jurist|male|businessperson|1891-1911|North Am.
63|jurist|male|politician|1911-1931|North Am.
64|jurist|male|politician|1931-1951|North Am.
65|jurist|male|businessperson|1931-1951|North Am.
66|jurist|male|politician|1931-1951|North Am.
67|jurist|male|writer|1931-1951|North Am.
68|jurist|female|politician|1931-1951|North Am.
69|jurist|female|writer|1931-1951|North Am.
70|jurist|female|scientist|1931-1951|North Am.
71|jurist|male|politician|1931-1951|North Am.
72|jurist|male|politician|1911-1931|North Am.
73|jurist|male|athlete|1911-1931|North Am.
74|jurist|male|politician|1931-1951|North Am.
75|jurist|male|media person|1931-1951|North Am.
76|jurist|male|politician|1891-1911|North Am.
77|jurist|male|politician|1871-1891|North Am.
78|jurist/economist|male|politician|1871-1891|North Am.
79|jurist/economist|male|media person|1871-1891|North Am.
80|jurist|male|politician|1851-1871|North Am.
81|jurist|male|politician|1871-1891|North Am.
82|jurist|male|politician|1831-1851|North Am.
83|jurist|male|media person|1831-1851|North Am.
84|jurist|male|politician|1811-1831|North Am.
85|jurist|male|scientist|1811-1831|North Am.
86|jurist|male|politician|1811-1831|North Am.
87|jurist|male|politician|1911-1931|North Am.
88|jurist|male|scientist|1911-1931|North Am.
89|jurist|female|politician|1931-1951|North Am.
90|jurist|female|writer|1931-1951|North Am.
91|jurist|female|other_occupation|1931-1951|North Am.
92|jurist|male|writer|1931-1951|North Am.
93|jurist|male|politician|1931-1951|North Am.
94|jurist|male|scientist|1931-1951|North Am.
95|jurist|male|politician|1891-1911|North Am.
96|economist|male|scientist|1931-1951|North Am.
97|jurist|male|media person|1891-1911|North Am.
98|jurist|male|writer|1891-1911|North Am.
99|jurist|male|politician|1891-1911|North Am.
100|jurist|male|other_occupation|1891-1911|North Am.
101|jurist|male|politician|1911-1931|North Am.
102|jurist|male|politician|1851-1871|North Am.
103|jurist|male|politician|1911-1931|North Am.
104|jurist|male|media person|1911-1931|North Am.
105|jurist|male|politician|1911-1931|North Am.
106|jurist|male|politician|1931-1951|North Am.
107|jurist|male|politician|1911-1931|North Am.
108|jurist|male|businessperson|1911-1931|North Am.
109|economist|male|politician|1911-1931|North Am.
110|jurist|male|writer|1931-1951|North Am.
111|jurist|male|politician|1931-1951|North Am.
112|jurist|male|politician|1871-1891|North Am.
113|jurist|male|politician|1931-1951|North Am.
114|jurist|male|politician|1871-1891|North Am.
115|jurist|male|politician|1831-1851|North Am.
116|jurist|male|scientist|1831-1851|North Am.
117|jurist|male|politician|1891-1911|North Am.
118|jurist|male|politician|1911-1931|North Am.
119|jurist|male|politician|1771-1791|North Am.
120|jurist|male|politician|1931-1951|North Am.
121|jurist|male|politician|1911-1931|North Am.
122|jurist|male|politician|1851-1871|North Am.
125|jurist|male|politician|1911-1931|North Am.
126|jurist|male|politician|1931-1951|North Am.
127|jurist|male|politician|1931-1951|North Am.
128|jurist|male|scientist|1831-1851|North Am.
129|economist|male|politician|1911-1931|North Am.
130|jurist|male|politician|1891-1911|North Am.
131|jurist|male|scientist|1891-1911|North Am.
133|jurist|male|politician|1811-1831|North Am.
134|jurist|male|politician|1871-1891|North Am.
135|jurist|male|politician|1831-1851|North Am.
139|jurist|male|politician|1931-1951|North Am.
140|economist|male|businessperson|1931-1951|North Am.
141|economist|male|scientist|1931-1951|North Am.
142|jurist|male|politician|1871-1891|North Am.
143|jurist|male|politician|1831-1851|North Am.
144|jurist|male|scientist|1831-1851|North Am.
147|jurist|male|politician|1811-1831|North Am.
148|jurist|male|politician|1931-1951|North Am.
149|jurist|male|writer|1931-1951|North Am.
150|jurist|male|politician|1911-1931|North Am.
152|jurist|male|politician|1911-1931|North Am.
154|jurist|male|politician|1911-1931|North Am.
157|jurist|male|politician|1911-1931|North Am.
158|jurist|male|politician|1851-1871|North Am.
159|jurist|male|politician|1871-1891|North Am.
160|jurist|male|politician|1851-1871|North Am.
161|jurist|male|politician|1871-1891|North Am.
162|jurist|male|politician|1891-1911|North Am.
163|jurist|male|politician|1891-1911|North Am.
164|jurist|male|politician|1851-1871|North Am.
165|jurist|male|politician|1831-1851|North Am.
166|jurist|male|politician|1871-1891|North Am.
167|jurist|male|scientist|1931-1951|North Am.
168|jurist|male|politician|1931-1951|North Am.
169|jurist|male|politician|1911-1931|North Am.
170|jurist|male|politician|1891-1911|North Am.
171|jurist|male|politician|1831-1851|North Am.
172|jurist|male|politician|1851-1871|North Am.
173|jurist|male|politician|1831-1851|North Am.
174|jurist|male|politician|1911-1931|North Am.
175|jurist|male|politician|1931-1951|North Am.
176|jurist|male|politician|1931-1951|North Am.
179|jurist|male|politician|1911-1931|North Am.
180|jurist|male|businessperson|1911-1931|North Am.
191|jurist|male|politician|1831-1851|North Am.
192|jurist|male|other_occupation|1931-1951|North Am.
193|jurist|male|other_occupation|1931-1951|North Am.
194|jurist|male|media person|1931-1951|North Am.
197|jurist|male|scientist|1811-1831|North Am.
198|economist|male|scientist|1831-1851|North Am.
199|economist|male|scientist|1831-1851|North Am.
200|economist|male|teacher|1831-1851|North Am.
201|economist|male|writer|1831-1851|North Am.
203|jurist|male|politician|1931-1951|North Am.
204|economist|male|politician|1911-1931|North Am.
205|economist|male|other_occupation|1911-1931|North Am.
206|jurist|male|politician|1851-1871|North Am.
210|economist|male|scientist|1931-1951|North Am.
212|jurist|male|politician|1911-1931|North Am.
214|jurist|male|other_occupation|1911-1931|North Am.
215|jurist|male|politician|1811-1831|North Am.
216|jurist|male|athlete|1811-1831|North Am.
218|economist|male|scientist|1931-1951|North Am.
219|jurist|male|politician|1931-1951|North Am.
220|jurist|male|politician|1911-1931|North Am.
221|jurist|male|politician|1931-1951|North Am.
222|jurist|male|politician|1891-1911|North Am.
224|economist|male|politician|1871-1891|North Am.
225|economist|male|scientist|1871-1891|North Am.
227|jurist|male|politician|1911-1931|North Am.
228|jurist|male|politician|1931-1951|North Am.
229|jurist|male|politician|1931-1951|North Am.
230|jurist|male|scientist|1931-1951|North Am.
231|economist|male|politician|1951-1971|North Am.
232|jurist|male|politician|1911-1931|North Am.
233|economist|male|scientist|1931-1951|North Am.
234|economist|male|scientist|1931-1951|North Am.
235|jurist|male|politician|1891-1911|North Am.
237|economist|male|politician|1891-1911|North Am.
238|economist|male|scientist|1891-1911|North Am.
239|economist|male|writer|1891-1911|North Am.
240|jurist|male|politician|1911-1931|North Am.
241|jurist|male|politician|1851-1871|North Am.
242|jurist|male|politician|1931-1951|North Am.
243|jurist|male|politician|1911-1931|North Am.
248|jurist|male|politician|1911-1931|North Am.
249|jurist|male|writer|1931-1951|North Am.
250|economist|male|politician|1911-1931|North Am.
251|economist|male|scientist|1911-1931|North Am.
252|economist|male|writer|1911-1931|North Am.
259|jurist|male|politician|1931-1951|North Am.
261|jurist|male|politician|1851-1871|North Am.
262|jurist|male|other_occupation|1851-1871|North Am.
264|jurist|male|politician|1891-1911|North Am.
265|economist|male|scientist|1891-1911|North Am.
266|economist|male|scientist|1891-1911|Europe
267|jurist|male|politician|1871-1891|North Am.
269|jurist|male|politician|1871-1891|North Am.
270|jurist|male|scientist|1871-1891|North Am.
272|jurist|male|politician|1931-1951|North Am.
273|jurist|male|scientist|1931-1951|North Am.
274|jurist|male|politician|1931-1951|North Am.
275|economist|male|scientist|1931-1951|North Am.
276|economist|male|media person|1931-1951|North Am.
277|jurist|male|politician|1911-1931|North Am.
278|jurist|male|politician|1931-1951|North Am.
279|jurist|male|writer|1931-1951|North Am.
280|jurist|male|politician|1931-1951|North Am.
294|economist|male|scientist|1931-1951|North Am.
295|jurist|male|scientist|1911-1931|North Am.
298|economist|male|scientist|1931-1951|North Am.
306|jurist|male|scientist|1931-1951|North Am.
308|jurist|male|politician|1931-1951|North Am.
312|jurist|male|politician|1931-1951|North Am.
313|jurist|male|writer|1931-1951|North Am.
315|economist|female|media person|1911-1931|North Am.
316|economist|female|writer|1911-1931|North Am.
317|economist|female|scientist|1911-1931|North Am.
318|jurist|male|politician|1951-1971|North Am.
319|jurist|male|politician|1891-1911|North Am.
320|jurist|male|politician|1931-1951|North Am.
324|jurist|male|politician|1851-1871|North Am.
325|jurist|male|politician|1911-1931|North Am.
326|jurist|male|scientist|1911-1931|North Am.
327|jurist|male|scientist|1911-1931|Europe
328|jurist|female|scientist|1931-1951|North Am.
329|jurist|female|politician|1931-1951|North Am.
330|jurist|female|politician|1951-1971|North Am.
331|jurist|male|politician|1891-1911|North Am.
332|jurist|male|politician|1871-1891|North Am.
334|jurist|male|politician|1931-1951|North Am.
335|jurist|male|politician|1911-1931|North Am.
336|jurist|male|politician|1891-1911|North Am.
337|jurist|male|politician|1851-1871|North Am.
338|jurist|male|politician|1851-1871|North Am.
339|jurist|male|politician|1891-1911|North Am.
342|jurist|male|politician|1811-1831|North Am.
343|jurist|male|writer|1811-1831|North Am.
344|jurist|male|politician|1931-1951|North Am.
345|jurist|male|scientist|1931-1951|North Am.
346|jurist|male|other_occupation|1931-1951|North Am.
