id_entity|occupation|type
urn:uuid:fb3527da-478c-4e4f-a861-9de00b9d154b|politician|economist
urn:uuid:9ce56c33-08da-497c-afb0-38cb6ff6536c|politician|jurist
urn:uuid:2178758f-d8df-447d-b64b-bd78dfe045b7|politician|economist
urn:uuid:490ab506-b377-4e39-bf39-3d6e3f732a62|politician|jurist
urn:uuid:41ad1b0e-5f5e-43b6-9137-ea5f6bfe3cf4|politician|jurist
urn:uuid:9179aad4-9c44-4d9b-98f6-9d97ad36baa6|politician|jurist
urn:uuid:f4d660c4-0a91-4a26-b73e-fee221b0919a|politician|jurist
urn:uuid:42059454-7941-47d7-9bc7-5ec28743220c|politician|jurist
urn:uuid:fb8010fe-ab7c-4f8f-a851-7a07bcec70e2|politician|jurist
urn:uuid:540d8caa-be15-478e-974f-50f02ddf2680|politician|jurist
urn:uuid:73b90396-2ee8-4fa3-9b5a-3001486a52a5|politician|jurist
urn:uuid:14e04f53-6f14-4cf8-9035-740e78f7106f|politician|jurist
urn:uuid:b55ecda8-00d3-4a02-a208-52271012ab59|politician|jurist
urn:uuid:01233b2c-9c1a-4c76-a9b6-82cc3eeb86b1|politician|jurist
urn:uuid:c8c03397-2a18-4f4c-aec2-6023a9859597|politician|jurist
urn:uuid:53952593-fb41-43e4-bbf9-065999a6c050|politician|jurist
urn:uuid:ef836cd6-4f30-46ac-b279-5d7fac525469|politician|jurist
urn:uuid:40fc058e-277f-453d-b342-cccf929c70ed|politician|jurist
urn:uuid:9e4e4eef-1fed-4e99-9cd7-0470282d5dc9|politician|jurist
urn:uuid:df0b15ab-fbf4-48a5-8206-08abdc45b5f0|politician|jurist
urn:uuid:636540af-2d6a-4d28-8bde-61b76eb675f8|politician|jurist
urn:uuid:f7a863d9-60a5-49ca-ab3c-865c9be6e243|politician|jurist
urn:uuid:3b1c014d-945b-434b-b1b4-87d43da27f2d|politician|jurist
urn:uuid:2841429f-c00f-4f7e-aec2-94a00342e4ab|politician|economist
urn:uuid:8c160fb3-2572-4ce1-979b-acf169c77fcc|politician|jurist
urn:uuid:3dac11df-cb4e-426d-9aa5-e39c56546b53|politician|jurist
urn:uuid:115440f9-6d87-4393-8f53-50fcd6dd9ab2|politician|jurist
urn:uuid:f40351e0-14c4-4b60-b6b2-398b2d1f514e|politician|economist
urn:uuid:595367c4-3db5-4a1c-ae26-d377b69b51ed|politician|jurist
urn:uuid:4606e230-0d08-435d-ba59-af5232341956|politician|jurist
urn:uuid:b21c82f4-525f-46c9-9b6a-c587772bf0b9|politician|jurist
urn:uuid:381fe137-8881-4ecb-baa5-da11115ce50a|politician|jurist
urn:uuid:c7a03775-0a22-4d24-913c-4b942e42d428|politician|jurist
urn:uuid:3a93d2aa-a8ab-48d7-a90d-3728c3813ad4|politician|economist
urn:uuid:4831fcd2-b2e9-43d1-ba22-953069cf8ff1|politician|jurist
urn:uuid:2480a69b-dd7b-469e-aa91-129ee941df0d|politician|economist
urn:uuid:a4502711-12d7-43a3-91c6-390b36d4282a|politician|jurist
urn:uuid:7dce5ad7-2127-40e9-89ba-444b70fa35e4|politician|jurist
urn:uuid:b287ccb8-4368-47cf-9002-ca0ae63d4807|politician|jurist
urn:uuid:ce132c61-1282-4ce8-9b82-d9505677497e|politician|jurist
urn:uuid:3ce88e7e-c522-499c-9e77-b7c4c626d6f4|politician|jurist
urn:uuid:882c7284-9c05-455d-ab77-ad3e99ad4d87|politician|jurist
urn:uuid:4fb8cee2-6c69-4619-a0fe-caffe4782deb|politician|jurist
urn:uuid:cb6a1b32-7839-4445-83f6-bc1c9a5615a6|politician|economist
urn:uuid:9d45dd28-b8c8-485f-b0d8-f6c6851e2e1d|politician|jurist
urn:uuid:1e4dbcec-40c3-44f6-963e-504330fe5f5a|politician|jurist
urn:uuid:d441e8e2-6d78-4574-b2e3-b3da10a70dde|politician|jurist
urn:uuid:a1ce4bbf-0f63-4d7d-ac64-c2ac74c25e8b|politician|jurist
urn:uuid:179e666a-6dbf-450d-ac1a-56aa260fa704|politician|jurist
urn:uuid:c1daf709-81de-4ae9-9b40-050f8eedd734|politician|jurist
urn:uuid:e2402f37-9e1e-443a-831b-a79999358a16|politician|jurist
urn:uuid:09cdebf4-adef-42d4-a079-8edcc6ab203a|politician|jurist
urn:uuid:dc7fbcb7-5a7d-472d-946d-42cafeecac11|politician|economist
urn:uuid:dd6bc350-84e2-4b75-bd1b-50a88d42474b|politician|jurist
urn:uuid:a142db6d-9209-4579-a853-3212484f3651|politician|jurist
urn:uuid:f7ddebf2-067b-4cea-a36f-54d692417378|politician|jurist
urn:uuid:53f9677e-9cf9-41e1-8530-a5ffe4a31a4d|politician|jurist
urn:uuid:3f9de1ba-15a8-42d1-af92-7425a3327957|politician|jurist
urn:uuid:a0c88362-2420-41d4-8f9b-54e298b0a23c|politician|jurist
urn:uuid:b6eda26f-e266-4c92-afe7-f208633539aa|politician|jurist
urn:uuid:6fd3f26e-d0f2-4723-b0b1-34aeb2233124|politician|jurist
urn:uuid:24f1c341-2463-42c3-a720-b28ff5c95418|politician|jurist
