|id_entity|type|gender|occupation|generation|region
0|urn:uuid:eabd8139-89e4-4040-9bd4-ffd2a71713b5|economist|male|politician|1911-1931|Eastern Europe
2|urn:uuid:0de6c0dc-2e01-46ce-8826-841e6c7867b8|economist|male|scientist|1891-1911|Central Europe
4|urn:uuid:ab1769f4-02ef-4923-b970-5ad678782682|jurist|male|scientist|1911-1931|Central Europe
6|urn:uuid:0139342c-3301-41e3-acf9-6f42dfd140a8|jurist|male|politician|1851-1871|British Isles
7|urn:uuid:0139342c-3301-41e3-acf9-6f42dfd140a8|jurist|male|media person|1851-1871|British Isles
10|urn:uuid:bca0dc8b-cd3c-4760-8860-c528d5751297|economist|male|media person|1931-1951|Central Europe
11|urn:uuid:bca0dc8b-cd3c-4760-8860-c528d5751297|economist|male|scientist|1931-1951|Central Europe
14|urn:uuid:1d42d4be-5b4b-4208-b6af-cfabf172a374|jurist|male|athlete|1851-1871|British Isles
16|urn:uuid:f1739861-e4ea-4b35-84d7-762efe495ea6|jurist|male|politician|1851-1871|British Isles
18|urn:uuid:f4145375-aeb2-4774-a204-b369a88283b8|jurist|male|other_occupation|1891-1911|Central Europe
20|urn:uuid:1b779681-e96b-4418-8179-d8725c54981d|economist|male|scientist|1931-1951|Central Europe
24|urn:uuid:5bb030fc-ba8c-4542-b704-c3423b0f0434|economist|male|writer|1931-1951|Scandinavia
26|urn:uuid:4ed60ee0-10b9-46a5-a348-2d660733c00f|jurist|male|media person|1931-1951|Western Europe
27|urn:uuid:4ed60ee0-10b9-46a5-a348-2d660733c00f|jurist|male|writer|1931-1951|Western Europe
28|urn:uuid:4ed60ee0-10b9-46a5-a348-2d660733c00f|jurist|male|scientist|1931-1951|Western Europe
32|urn:uuid:3ecc2654-7b1e-4a9c-9a8e-5277a2dd8bd0|jurist|male|politician|1911-1931|Central Europe
33|urn:uuid:3ecc2654-7b1e-4a9c-9a8e-5277a2dd8bd0|jurist|male|other_occupation|1911-1931|Central Europe
36|urn:uuid:43d48515-5072-438b-86d1-355c3792bf4f|jurist|male|other_occupation|1871-1891|Western Europe
38|urn:uuid:85b47f0e-5478-4fbf-b7e3-730a690564e9|economist|male|scientist|1911-1931|Central Europe
42|urn:uuid:d677c28c-55c6-4c4e-9ead-042b5bf1947a|economist|male|writer|1911-1931|Western Europe
43|urn:uuid:d677c28c-55c6-4c4e-9ead-042b5bf1947a|economist|male|writer|1911-1931|Central Europe
44|urn:uuid:d677c28c-55c6-4c4e-9ead-042b5bf1947a|economist|male|scientist|1911-1931|Western Europe
45|urn:uuid:d677c28c-55c6-4c4e-9ead-042b5bf1947a|economist|male|scientist|1911-1931|Central Europe
48|urn:uuid:d677c28c-55c6-4c4e-9ead-042b5bf1947a|economist|male|other|1911-1931|Western Europe
49|urn:uuid:d677c28c-55c6-4c4e-9ead-042b5bf1947a|economist|male|other|1911-1931|Central Europe
58|urn:uuid:ff50f95f-7823-4e85-8df8-97f3a92d1468|jurist|male|scientist|1931-1951|Central Europe
60|urn:uuid:5f3bb7bd-175f-4d3f-bf8c-f2315c5542db|jurist|male|scientist|1891-1911|Central Europe
62|urn:uuid:d3122fc2-55ad-44dd-9752-dfc2670cb6ec|jurist|male|media person|1891-1911|Central Europe
63|urn:uuid:d3122fc2-55ad-44dd-9752-dfc2670cb6ec|jurist|male|other|1891-1911|Central Europe
66|urn:uuid:5bbb1300-44ef-417e-b69b-942989f5696e|economist|male|politician|1911-1931|Central Europe
68|urn:uuid:fa47cd72-94a2-4c26-820e-9b93481dd6a8|economist|female|scientist|1871-1891|Central Europe
69|urn:uuid:fa47cd72-94a2-4c26-820e-9b93481dd6a8|economist|female|writer|1871-1891|Central Europe
72|urn:uuid:d2b90806-6250-44f5-8f92-be4896a9b958|economist|male|scientist|1891-1911|Central Europe
74|urn:uuid:4be4e2a8-b1ac-43b5-aca6-cc82bac2690a|economist|male|scientist|1891-1911|Western Europe
76|urn:uuid:8922a8e2-1be1-4309-b9e3-0120b15c8444|jurist|male|scientist|1871-1891|Central Europe
80|urn:uuid:a19c3c35-ec08-4e40-9c4c-2d1616277d8a|jurist|male|scientist|1891-1911|Central Europe
82|urn:uuid:499e933a-7d91-42cb-bb68-b4a5f5bec9fe|economist|male|scientist|1931-1951|Central Europe
84|urn:uuid:b435ed9c-deb0-434e-9af2-6f7505d6b7bf|jurist|male|scientist|1891-1911|Central Europe
86|urn:uuid:52172f10-fb6d-4826-a863-170400f0e8d2|economist|male|teacher|1931-1951|Central Europe
88|urn:uuid:46bb78e0-487f-46b0-a80d-a3149afbbe0a|jurist|male|scientist|1931-1951|Southern Europe
89|urn:uuid:46bb78e0-487f-46b0-a80d-a3149afbbe0a|jurist|male|writer|1931-1951|Southern Europe
92|urn:uuid:712ac929-fc8c-413c-ba50-859d3f9b3a41|jurist|male|politician|1891-1911|Central Europe
93|urn:uuid:712ac929-fc8c-413c-ba50-859d3f9b3a41|jurist|male|politician|1891-1911|Southeastern Europe
