nationality|freq|code|continent
United States of America|25500|Unite|North Am.
Germany|12223|Germa|Europe
Spain|5396|Spain|Europe
France|3933|Franc|Europe
United Kingdom|3853|Unite|Europe
Japan|3845|Japan|Asia
Poland|3016|Polan|Europe
Brazil|2721|Brazi|South Am.
Canada|2598|Canad|North Am.
Kingdom of Italy|2397|Kingd|Europe
Italy|2000|Italy|Europe
Soviet Union|1938|Sovie|Europe
Norway|1791|Norwa|Europe
Belgium|1685|Belgi|Europe
Kingdom of the Netherlands|1665|Kingd|Europe
Argentina|1624|Argen|South Am.
Hungary|1453|Hunga|Europe
Chile|1365|Chile|South Am.
United Kingdom of Great Britain and Ireland|1339|Unite|Europe
Russia|1298|Russi|Europe
Switzerland|1283|Switz|Europe
Austria|1280|Austr|Europe
Czechoslovakia|1202|Czech|Europe
Sweden|1139|Swede|Europe
Austria-Hungary|1079|Austr|Europe
Greece|1074|Greec|Europe
Socialist Federal Republic of Yugoslavia|1027|Socia|Europe
Mexico|1023|Mexic|North Am.
Russian Empire|1016|Russi|Europe
Australia|990|Austr|Oceania
India|956|India|Asia
Israel|956|Israe|Middle East
Slovenia|847|Slove|Europe
Peru|809|Peru|South Am.
British India|757|Briti|Asia
Finland|735|Finla|Europe
Romania|695|Roman|Europe
Colombia|682|Colom|South Am.
Turkey|675|Turke|Middle East
South Korea|674|South|Asia
Denmark|669|Denma|Europe
German Reich|592|Germa|Europe
Ukraine|540|Ukrai|Europe
Kingdom of Yugoslavia|523|Kingd|Europe
Dominion of India|518|Domin|Europe
Czech Republic|500|Czech|Europe
New Zealand|491|New Z|Oceania
Portugal|479|Portu|Europe
Uruguay|401|Urugu|Europe
Bulgaria|395|Bulga|Europe
German Empire|388|Germa|Europe
People's Republic of China|371|Peopl|Europe
Lithuania|354|Lithu|Europe
Austrian Empire|347|Austr|Europe
Venezuela|320|Venez|South Am.
Luxembourg|291|Luxem|Europe
Pakistan|291|Pakis|Asia
Philippines|289|Phili|Asia
Nigeria|283|Niger|Africa
Ghana|249|Ghana|Africa
South Africa|243|South|Africa
Latvia|224|Latvi|Europe
Armenia|214|Armen|Middle East
Ecuador|209|Ecuad|South Am.
Costa Rica|199|Costa|Central Am.
East Germany|192|East|Europe
Ireland|191|Irela|Europe
Cyprus|187|Cypru|Europe
Indonesia|184|Indon|Asia
Iran|182|Iran|Middle East
Kingdom of Serbs, Croats and Slovenes|182|Kingd|Europe
Great Britain|180|Great|Europe
Malaysia|166|Malay|Asia
Egypt|159|Egypt|Africa
Sri Lanka|156|Sri L|Asia
Estonia|153|Eston|Europe
Bolivia|148|Boliv|South Am.
Iraq|147|Iraq|Middle East
Ottoman Empire|144|Ottom|Middle East
Tunisia|144|Tunis|Africa
Nazi Germany|136|Nazi|Europe
Taiwan|136|Taiwa|Asia
Netherlands|135|Nethe|Europe
Serbia|128|Serbi|Europe
Cisleithania|125|Cisle|Europe
Belarus|120|Belar|Europe
Thailand|118|Thail|Asia
Bangladesh|117|Bangl|Asia
Dominican Republic|111|Domin|Central Am.
Lebanon|107|Leban|Middle East
Cuba|106|Cuba|South Am.
Kingdom of Hungary|105|Kingd|Europe
Iceland|103|Icela|Europe
Second Polish Republic|103|Secon|Europe
Uganda|103|Ugand|Africa
Moldova|98|Moldo|Europe
Croatia|96|Croat|Europe
Kingdom of Prussia|96|Kingd|Europe
Slovakia|92|Slova|Europe
Kingdom of Sardinia (1720-1861)|90|Kingd|Europe
Honduras|86|Hondu|Central Am.
Kazakhstan|83|Kazak|Asia
Republic of China (1912–1949)|83|Repub|Asia
Paraguay|82|Parag|South Am.
West Germany|82|West|Europe
Morocco|81|Moroc|Africa
